"periode_update";"kabupaten_kota";"rumah_tangga_terlayani"
"Tahun 2018";"Pacitan";"108220"
"Tahun 2018";"Ponorogo";"199425"
"Tahun 2018";"Trenggalek";"104724"
"Tahun 2018";"Tulungagung";"203840"
"Tahun 2018";"Blitar";"226388"
"Tahun 2018";"Kediri";"274586"
"Tahun 2018";"Malang";"548949"
"Tahun 2018";"Lumajang";"203045"
"Tahun 2018";"Jember";"400726"
"Tahun 2018";"Banyuwangi";"356822"
"Tahun 2018";"Bondowoso";"162677"
"Tahun 2018";"Situbondo";"135001"
"Tahun 2018";"Probolinggo";"202869"
"Tahun 2018";"Pasuruan";"290945"
"Tahun 2018";"Sidoarjo";"537792"
"Tahun 2018";"Mojokerto";"218505"
"Tahun 2018";"Jombang";"239964"
"Tahun 2018";"Nganjuk";"208242"
"Tahun 2018";"Madiun";"165287"
"Tahun 2018";"Magetan";"150462"
"Tahun 2018";"Ngawi";"199398"
"Tahun 2018";"Bojonegoro";"271839"
"Tahun 2018";"Tuban";"259826"
"Tahun 2018";"Lamongan";"230109"
"Tahun 2018";"Gresik";"291501"
"Tahun 2018";"Bangkalan";"140119"
"Tahun 2018";"Sampang";"194141"
"Tahun 2018";"Pamekasan";"160481"
"Tahun 2018";"Sumenep";"261047"
"Tahun 2018";"Kota Kediri";"51318"
"Tahun 2018";"Kota Blitar";"27261"
"Tahun 2018";"Kota Malang";"197192"
"Tahun 2018";"Kota Probolinggo";"50074"
"Tahun 2018";"Kota Pasuruan";"45041"
"Tahun 2018";"Kota Mojokerto";"27132"
"Tahun 2018";"Kota Madiun";"46478"
"Tahun 2018";"Kota Surabaya";"760431"
"Tahun 2018";"Kota Batu";"47893"
"Tahun 2019";"Pacitan";"114863"
"Tahun 2019";"Ponorogo";"203477"
"Tahun 2019";"Trenggalek";"115354"
"Tahun 2019";"Tulungagung";"204094"
"Tahun 2019";"Blitar";"233759"
"Tahun 2019";"Kediri";"281887"
"Tahun 2019";"Malang";"561223"
"Tahun 2019";"Lumajang";"220606"
"Tahun 2019";"Jember";"407314"
"Tahun 2019";"Banyuwangi";"356847"
"Tahun 2019";"Bondowoso";"171084"
"Tahun 2019";"Situbondo";"142884"
"Tahun 2019";"Probolinggo";"218047"
"Tahun 2019";"Pasuruan";"310880"
"Tahun 2019";"Sidoarjo";"541286"
"Tahun 2019";"Mojokerto";"243941"
"Tahun 2019";"Jombang";"246365"
"Tahun 2019";"Nganjuk";"216171"
"Tahun 2019";"Madiun";"168370"
"Tahun 2019";"Magetan";"160907"
"Tahun 2019";"Ngawi";"206548"
"Tahun 2019";"Bojonegoro";"275494"
"Tahun 2019";"Tuban";"273024"
"Tahun 2019";"Lamongan";"262075"
"Tahun 2019";"Gresik";"302968"
"Tahun 2019";"Bangkalan";"146545"
"Tahun 2019";"Sampang";"199471"
"Tahun 2019";"Pamekasan";"164981"
"Tahun 2019";"Sumenep";"267690"
"Tahun 2019";"Kota Kediri";"51393"
"Tahun 2019";"Kota Blitar";"27261"
"Tahun 2019";"Kota Malang";"197592"
"Tahun 2019";"Kota Probolinggo";"50074"
"Tahun 2019";"Kota Pasuruan";"45061"
"Tahun 2019";"Kota Mojokerto";"27422"
"Tahun 2019";"Kota Madiun";"46478"
"Tahun 2019";"Kota Surabaya";"760431"
"Tahun 2019";"Kota Batu";"48078"
"Tahun 2020";"Pacitan";"120046"
"Tahun 2020";"Ponorogo";"209702"
"Tahun 2020";"Trenggalek";"117764"
"Tahun 2020";"Tulungagung";"208026"
"Tahun 2020";"Blitar";"239225"
"Tahun 2020";"Kediri";"289042"
"Tahun 2020";"Malang";"570348"
"Tahun 2020";"Lumajang";"230516"
"Tahun 2020";"Jember";"416616"
"Tahun 2020";"Banyuwangi";"358530"
"Tahun 2020";"Bondowoso";"178372"
"Tahun 2020";"Situbondo";"145025"
"Tahun 2020";"Probolinggo";"221841"
"Tahun 2020";"Pasuruan";"326726"
"Tahun 2020";"Sidoarjo";"572220"
"Tahun 2020";"Mojokerto";"260631"
"Tahun 2020";"Jombang";"248389"
"Tahun 2020";"Nganjuk";"221853"
"Tahun 2020";"Madiun";"173757"
"Tahun 2020";"Magetan";"166054"
"Tahun 2020";"Ngawi";"214638"
"Tahun 2020";"Bojonegoro";"280603"
"Tahun 2020";"Tuban";"283599"
"Tahun 2020";"Lamongan";"303064"
"Tahun 2020";"Gresik";"330642"
"Tahun 2020";"Bangkalan";"150218"
"Tahun 2020";"Sampang";"204130"
"Tahun 2020";"Pamekasan";"168323"
"Tahun 2020";"Sumenep";"273902"
"Tahun 2020";"Kota Kediri";"51493"
"Tahun 2020";"Kota Blitar";"27261"
"Tahun 2020";"Kota Malang";"197592"
"Tahun 2020";"Kota Probolinggo";"50074"
"Tahun 2020";"Kota Pasuruan";"49061"
"Tahun 2020";"Kota Mojokerto";"27932"
"Tahun 2020";"Kota Madiun";"46478"
"Tahun 2020";"Kota Surabaya";"790671"
"Tahun 2020";"Kota Batu";"48078"
"Tahun 2021";"Pacitan";"127082"
"Tahun 2021";"Ponorogo";"252905"
"Tahun 2021";"Trenggalek";"161582"
"Tahun 2021";"Tulungagung";"302311"
"Tahun 2021";"Blitar";"326841"
"Tahun 2021";"Kediri";"435674"
"Tahun 2021";"Malang";"723172"
"Tahun 2021";"Lumajang";"713541"
"Tahun 2021";"Jember";"285506"
"Tahun 2021";"Banyuwangi";"481502"
"Tahun 2021";"Bondowoso";"236499"
"Tahun 2021";"Situbondo";"237502"
"Tahun 2021";"Probolinggo";"312579"
"Tahun 2021";"Pasuruan";"462153"
"Tahun 2021";"Sidoarjo";"633187"
"Tahun 2021";"Mojokerto";"322454"
"Tahun 2021";"Jombang";"367421"
"Tahun 2021";"Nganjuk";"312804"
"Tahun 2021";"Madiun";"205462"
"Tahun 2021";"Magetan";"182318"
"Tahun 2021";"Ngawi";"269860"
"Tahun 2021";"Bojonegoro";"352049"
"Tahun 2021";"Tuban";"323435"
"Tahun 2021";"Lamongan";"280130"
"Tahun 2021";"Gresik";"326616"
"Tahun 2021";"Bangkalan";"254009"
"Tahun 2021";"Sampang";"236681"
"Tahun 2021";"Pamekasan";"206469"
"Tahun 2021";"Sumenep";"339291"
"Tahun 2021";"Kota Kediri";"83647"
"Tahun 2021";"Kota Blitar";"40611"
"Tahun 2021";"Kota Malang";"265539"
"Tahun 2021";"Kota Probolinggo";"68288"
"Tahun 2021";"Kota Pasuruan";"56313"
"Tahun 2021";"Kota Mojokerto";"38747"
"Tahun 2021";"Kota Madiun";"53369"
"Tahun 2021";"Kota Surabaya";"809525"
"Tahun 2021";"Kota Batu";"59903"
"Tahun 2022";"Pacitan";"139656"
"Tahun 2022";"Ponorogo";"248675"
"Tahun 2022";"Trenggalek";"172087"
"Tahun 2022";"Tulungagung";"299275"
"Tahun 2022";"Blitar";"342882"
"Tahun 2022";"Kediri";"411200"
"Tahun 2022";"Malang";"700705"
"Tahun 2022";"Lumajang";"307971"
"Tahun 2022";"Jember";"699209"
"Tahun 2022";"Banyuwangi";"496951"
"Tahun 2022";"Bondowoso";"239148"
"Tahun 2022";"Situbondo";"219067"
"Tahun 2022";"Probolinggo";"313733"
"Tahun 2022";"Pasuruan";"426697"
"Tahun 2022";"Sidoarjo";"537287"
"Tahun 2022";"Mojokerto";"293186"
"Tahun 2022";"Jombang";"350965"
"Tahun 2022";"Nganjuk";"305844"
"Tahun 2022";"Madiun";"212109"
"Tahun 2022";"Magetan";"186987"
"Tahun 2022";"Ngawi";"262680"
"Tahun 2022";"Bojonegoro";"349079"
"Tahun 2022";"Tuban";"319456"
"Tahun 2022";"Lamongan";"275565"
"Tahun 2022";"Gresik";"309563"
"Tahun 2022";"Bangkalan";"241384"
"Tahun 2022";"Sampang";"226679"
"Tahun 2022";"Pamekasan";"211258"
"Tahun 2022";"Sumenep";"322800"
"Tahun 2022";"Kota Kediri";"75441"
"Tahun 2022";"Kota Blitar";"40229"
"Tahun 2022";"Kota Malang";"220018"
"Tahun 2022";"Kota Probolinggo";"62187"
"Tahun 2022";"Kota Pasuruan";"53031"
"Tahun 2022";"Kota Mojokerto";"34904"
"Tahun 2022";"Kota Madiun";"55149"
"Tahun 2022";"Kota Surabaya";"755892"
"Tahun 2022";"Kota Batu";"56247"
