"kabupaten_kota";"jumlah_ipal_komunal";"periode_update"
"Pacitan";"0";"Tahun 2018"
"Ponorogo";"0";"Tahun 2018"
"Trenggalek";"0";"Tahun 2018"
"Tulungagung";"0";"Tahun 2018"
"Blitar";"0";"Tahun 2018"
"Kediri";"0";"Tahun 2018"
"Malang";"0";"Tahun 2018"
"Lumajang";"0";"Tahun 2018"
"Jember";"0";"Tahun 2018"
"Banyuwangi";"0";"Tahun 2018"
"Bondowoso";"0";"Tahun 2018"
"Situbondo";"0";"Tahun 2018"
"Probolinggo";"0";"Tahun 2018"
"Pasuruan";"0";"Tahun 2018"
"Sidoarjo";"0";"Tahun 2018"
"Mojokerto";"0";"Tahun 2018"
"Jombang";"0";"Tahun 2018"
"Nganjuk";"0";"Tahun 2018"
"Madiun";"0";"Tahun 2018"
"Magetan";"0";"Tahun 2018"
"Ngawi";"0";"Tahun 2018"
"Bojonegoro";"0";"Tahun 2018"
"Tuban";"0";"Tahun 2018"
"Lamongan";"0";"Tahun 2018"
"Gresik";"0";"Tahun 2018"
"Bangkalan";"0";"Tahun 2018"
"Sampang";"0";"Tahun 2018"
"Pamekasan";"0";"Tahun 2018"
"Sumenep";"0";"Tahun 2018"
"Kota Kediri";"0";"Tahun 2018"
"Kota Blitar";"0";"Tahun 2018"
"Kota Malang";"0";"Tahun 2018"
"Kota Probolinggo";"0";"Tahun 2018"
"Kota Pasuruan";"0";"Tahun 2018"
"Kota Mojokerto";"0";"Tahun 2018"
"Kota Madiun";"0";"Tahun 2018"
"Kota Surabaya";"0";"Tahun 2018"
"Kota Batu";"0";"Tahun 2018"
"Pacitan";"";"Tahun 2019"
"Ponorogo";"";"Tahun 2019"
"Trenggalek";"";"Tahun 2019"
"Tulungagung";"";"Tahun 2019"
"Blitar";"";"Tahun 2019"
"Kediri";"1";"Tahun 2019"
"Malang";"";"Tahun 2019"
"Lumajang";"";"Tahun 2019"
"Jember";"";"Tahun 2019"
"Banyuwangi";"";"Tahun 2019"
"Bondowoso";"";"Tahun 2019"
"Situbondo";"";"Tahun 2019"
"Probolinggo";"";"Tahun 2019"
"Pasuruan";"";"Tahun 2019"
"Sidoarjo";"";"Tahun 2019"
"Mojokerto";"1";"Tahun 2019"
"Jombang";"";"Tahun 2019"
"Nganjuk";"";"Tahun 2019"
"Madiun";"";"Tahun 2019"
"Magetan";"";"Tahun 2019"
"Ngawi";"";"Tahun 2019"
"Bojonegoro";"";"Tahun 2019"
"Tuban";"";"Tahun 2019"
"Lamongan";"";"Tahun 2019"
"Gresik";"";"Tahun 2019"
"Bangkalan";"";"Tahun 2019"
"Sampang";"";"Tahun 2019"
"Pamekasan";"";"Tahun 2019"
"Sumenep";"";"Tahun 2019"
"Kota Kediri";"";"Tahun 2019"
"Kota Blitar";"";"Tahun 2019"
"Kota Malang";"";"Tahun 2019"
"Kota Probolinggo";"";"Tahun 2019"
"Kota Pasuruan";"";"Tahun 2019"
"Kota Mojokerto";"1";"Tahun 2019"
"Kota Madiun";"";"Tahun 2019"
"Kota Surabaya";"";"Tahun 2019"
"Kota Batu";"";"Tahun 2019"
"Pacitan";"0";"Tahun 2020"
"Ponorogo";"0";"Tahun 2020"
"Trenggalek";"0";"Tahun 2020"
"Tulungagung";"0";"Tahun 2020"
"Blitar";"0";"Tahun 2020"
"Kediri";"0";"Tahun 2020"
"Malang";"0";"Tahun 2020"
"Lumajang";"0";"Tahun 2020"
"Jember";"0";"Tahun 2020"
"Banyuwangi";"0";"Tahun 2020"
"Bondowoso";"0";"Tahun 2020"
"Situbondo";"0";"Tahun 2020"
"Probolinggo";"0";"Tahun 2020"
"Pasuruan";"0";"Tahun 2020"
"Sidoarjo";"0";"Tahun 2020"
"Mojokerto";"0";"Tahun 2020"
"Jombang";"0";"Tahun 2020"
"Nganjuk";"0";"Tahun 2020"
"Madiun";"0";"Tahun 2020"
"Magetan";"0";"Tahun 2020"
"Ngawi";"0";"Tahun 2020"
"Bojonegoro";"0";"Tahun 2020"
"Tuban";"0";"Tahun 2020"
"Lamongan";"0";"Tahun 2020"
"Gresik";"0";"Tahun 2020"
"Bangkalan";"0";"Tahun 2020"
"Sampang";"0";"Tahun 2020"
"Pamekasan";"0";"Tahun 2020"
"Sumenep";"0";"Tahun 2020"
"Kota Kediri";"0";"Tahun 2020"
"Kota Blitar";"0";"Tahun 2020"
"Kota Malang";"0";"Tahun 2020"
"Kota Probolinggo";"0";"Tahun 2020"
"Kota Pasuruan";"0";"Tahun 2020"
"Kota Mojokerto";"0";"Tahun 2020"
"Kota Madiun";"0";"Tahun 2020"
"Kota Surabaya";"0";"Tahun 2020"
"Kota Batu";"0";"Tahun 2020"
"Pacitan";"Tidak ada";"Tahun 2021"
"Ponorogo";"Tidak ada";"Tahun 2021"
"Trenggalek";"Tidak ada";"Tahun 2021"
"Tulungagung";"Tidak ada";"Tahun 2021"
"Blitar";"Tidak ada";"Tahun 2021"
"Kediri";"Tidak ada";"Tahun 2021"
"Malang";"Tidak ada";"Tahun 2021"
"Lumajang";"Tidak ada";"Tahun 2021"
"Jember";"Tidak ada";"Tahun 2021"
"Banyuwangi";"Tidak ada";"Tahun 2021"
"Bondowoso";"Tidak ada";"Tahun 2021"
"Situbondo";"Tidak ada";"Tahun 2021"
"Probolinggo";"Tidak ada";"Tahun 2021"
"Pasuruan";"Tidak ada";"Tahun 2021"
"Sidoarjo";"Tidak ada";"Tahun 2021"
"Mojokerto";"Tidak ada";"Tahun 2021"
"Jombang";"Tidak ada";"Tahun 2021"
"Nganjuk";"Tidak ada";"Tahun 2021"
"Madiun";"Tidak ada";"Tahun 2021"
"Magetan";"Tidak ada";"Tahun 2021"
"Ngawi";"Tidak ada";"Tahun 2021"
"Bojonegoro";"Tidak ada";"Tahun 2021"
"Tuban";"Tidak ada";"Tahun 2021"
"Lamongan";"Tidak ada";"Tahun 2021"
"Gresik";"Tidak ada";"Tahun 2021"
"Bangkalan";"Tidak ada";"Tahun 2021"
"Sampang";"Tidak ada";"Tahun 2021"
"Pamekasan";"Tidak ada";"Tahun 2021"
"Sumenep";"Tidak ada";"Tahun 2021"
"Kota Kediri";"Tidak ada";"Tahun 2021"
"Kota Blitar";"Tidak ada";"Tahun 2021"
"Kota Malang";"Tidak ada";"Tahun 2021"
"Kota Probolinggo";"Tidak ada";"Tahun 2021"
"Kota Pasuruan";"Tidak ada";"Tahun 2021"
"Kota Mojokerto";"Tidak ada";"Tahun 2021"
"Kota Madiun";"Tidak ada";"Tahun 2021"
"Kota Surabaya";"Tidak ada";"Tahun 2021"
"Kota Batu";"Tidak ada";"Tahun 2021"
"Pacitan";"0";"Tahun 2022"
"Ponorogo";"0";"Tahun 2022"
"Trenggalek";"0";"Tahun 2022"
"Tulungagung";"0";"Tahun 2022"
"Blitar";"0";"Tahun 2022"
"Kediri";"0";"Tahun 2022"
"Malang";"0";"Tahun 2022"
"Lumajang";"0";"Tahun 2022"
"Jember";"0";"Tahun 2022"
"Banyuwangi";"0";"Tahun 2022"
"Bondowoso";"0";"Tahun 2022"
"Situbondo";"0";"Tahun 2022"
"Probolinggo";"0";"Tahun 2022"
"Pasuruan";"0";"Tahun 2022"
"Sidoarjo";"0";"Tahun 2022"
"Mojokerto";"0";"Tahun 2022"
"Jombang";"0";"Tahun 2022"
"Nganjuk";"0";"Tahun 2022"
"Madiun";"0";"Tahun 2022"
"Magetan";"0";"Tahun 2022"
"Ngawi";"0";"Tahun 2022"
"Bojonegoro";"0";"Tahun 2022"
"Tuban";"0";"Tahun 2022"
"Lamongan";"0";"Tahun 2022"
"Gresik";"0";"Tahun 2022"
"Bangkalan";"0";"Tahun 2022"
"Sampang";"0";"Tahun 2022"
"Pamekasan";"0";"Tahun 2022"
"Sumenep";"0";"Tahun 2022"
"Kota Kediri";"0";"Tahun 2022"
"Kota Blitar";"0";"Tahun 2022"
"Kota Malang";"0";"Tahun 2022"
"Kota Probolinggo";"0";"Tahun 2022"
"Kota Pasuruan";"0";"Tahun 2022"
"Kota Mojokerto";"0";"Tahun 2022"
"Kota Madiun";"0";"Tahun 2022"
"Kota Surabaya";"0";"Tahun 2022"
