Kabupaten/Kota;2017;2018;2019;2020;2021;2022
Pacitan;62,36;67,11;65,01;69,9;71,7;72,64
Ponorogo;79,69;83,27;80,37;84,97;87,49;86,77
Trenggalek;69,09;71,43;72,72;76,81;75,48;79,27
Tulungagung;82,95;78,72;79,82;89,45;85,37;83,6
Blitar;69,87;70,35;75,73;80,36;75,67;80,11
Kediri;78,75;78,59;84,73;83,59;86,92;88,68
Malang;75,12;73,69;79,49;80,99;80,79;81,8
Lumajang;64,21;73,25;69,59;84,53;83,24;77,99
Jember;60,88;56,15;63,78;65,83;64,17;65,95
Banyuwangi;71,57;69,61;78,36;77,44;81,15;78,07
Bondowoso;30,9;35,67;43,1;44,07;52,82;51,64
Situbondo;44,13;48,15;52,14;55,29;59,79;54,52
Probolinggo;50,75;46,14;55,96;59,76;62,14;62,36
Pasuruan;60,62;68,11;73,47;80,03;82,92;83,4
Sidoarjo;93,94;90,64;94,07;95,52;95,05;89,54
Mojokerto;81,1;84,96;91,3;91,02;87,34;89,87
Jombang;84,3;84,72;88,7;88,98;90,95;93,67
Nganjuk;79,51;82,16;79,58;85,75;81,84;83,36
Madiun;86,91;84,11;89,14;91,92;89,09;89,4
Magetan;86,58;82,71;84;88,65;88,4;91,01
Ngawi;74,52;67,85;76,34;83,67;79,35;84,26
Bojonegoro;78,11;80,58;86,58;89,02;90,96;91,01
Tuban;68,99;75,49;77,79;79,03;83,8;80,99
Lamongan;85;93,66;90,08;92,23;89,7;90,66
Gresik;93,97;94,41;97,99;96,9;91,56;90,29
Bangkalan;43,24;51,66;54,66;56,18;39,44;53,48
Sampang;63,51;69,83;73,04;81,85;76,22;79,33
Pamekasan;66,49;61,84;72,37;68,25;70,85;65,95
Sumenep;54,29;55,38;68,63;64,74;65,66;67,68
Kota Kediri;89,54;93,96;95,6;95,4;95,75;95,87
Kota Blitar;94,28;94,4;94,82;96,67;96,77;95,91
Kota Malang;83,2;84,86;85,2;83,25;87,08;82,61
Kota Probolinggo;83,88;83,56;88,32;88,45;89,77;89,27
Kota Pasuruan;76,58;83,04;86,86;90,02;92,1;89,32
Kota Mojokerto;93,35;93,36;94,89;94,48;95,49;95,59
Kota Madiun;90,81;94,51;98,06;98,71;97,31;95,38
Kota Surabaya;94,69;87,18;93,89;91,84;95,2;96,41
Kota Batu;91,13;90,85;92,82;93,2;95,57;94,37
