kabupaten_kota;Jumlah Rumah Tangga;Rata-Rata Anggota per Rumah Tangga;Rasio Jenis Kelamin (%);Angka Ketergantungan(%);
Pacitan;166356;3.73;99,92;46,76;
Ponorogo;271776;3.72;99,59;45,41;
Trenggalek;211852;3.64;100,94;43,90;
Tulungagung;310483;3.58;100,09;42,99;
Blitar;355797;3.67;101,27;44,47;
Kediri;446132;3.77;102,10;42,87;
Malang;729749;3.69;101,44;42,26;
Lumajang;316354;3.70;97,89;43,57;
Jember;732924;3.46;99,09;42,52;
Banyuwangi;517819;3.41;100,26;44,16;
Bondowoso;256294;3.21;97,09;44,86;
Situbondo;220789;2.91;96,59;42,56;
Probolinggo;327078;3.70;97,53;44,57;
Pasuruan;440348;3.58;100,12;41,06;
Sidoarjo;560491;3.72;101,21;38,38;
Mojokerto;302098;3.75;101,13;42,34;
Jombang;354260;3.70;101,63;43,17;
Nganjuk;309967;3.61;101,19;44,20;
Madiun;223767;3.45;98,30;44,66;
Magetan;189431;3.82;96,78;48,67;
Ngawi;264905;3.33;98,54;44,79;
Bojonegoro;361702;3.67;100,98;41,58;
Tuban;327614;3.73;99,75;40,97;
Lamongan;350770;3.86;99,86;41,70;
Gresik;338320;3.94;101,38;40,75;
Bangkalan;257038;3.74;97,17;41,71;
Sampang;243087;3.86;97,12;43,93;
Pamekasan;221816;4.07;96,07;43,59;
Sumenep;341226;3.43;93,12;41,51;
Kota Kediri;75615;3.71;100,24;43,03;
Kota Blitar;40594;3.70;98,98;43,62;
Kota Malang;227385;3.53;99,14;43,02;
Kota Probolinggo;62187;3.60;98,51;44,28;
Kota Pasuruan;53031;3.59;100,02;44,09;
Kota Mojokerto;35382;3.66;98,34;43,99;
Kota Madiun;55966;3.26;95,64;43,51;
Kota Surabaya;790186;3.76;97,54;42,09;
Kota Batu;56746;3.72;101,57;41,84;
