"periode_update";"kabupaten_kota";"wilayah_sungai";"bulan";"jumlah_curah_hujan_rerata"
"Desember 2020";"Pacitan";"WS. Bengawan Solo";"";"2704.33"
"Desember 2020";"Ponorogo";"WS. Bengawan Solo";"";"2172.11"
"Desember 2020";"Trenggalek";"WS. Brantas";"";"2436.79"
"Desember 2020";"Tulungagung";"WS. Brantas";"";"2317"
"Desember 2020";"Blitar";"WS. Brantas";"";"3089.75"
"Desember 2020";"Kediri";"WS. Brantas";"";"2143.13"
"Desember 2020";"Malang";"WS. Brantas";"";"2584.25"
"Desember 2020";"Lumajang";"WS. Bondoyudo Bedadung";"";"2651.32"
"Desember 2020";"Jember";"WS. Bondoyudo Bedadung";"";"2214.04"
"Desember 2020";"Banyuwangi";"WS. Baru Bajulmati";"";"2278.43"
"Desember 2020";"Bondowoso";"WS. Pekalen Sampean";"";"1636.26"
"Desember 2020";"Situbondo";"WS. Pekalen Sampean";"";"1202.22"
"Desember 2020";"Probolinggo";"WS. Welang Rejoso";"";"2378.42"
"Desember 2020";"Pasuruan";"WS. Welang Rejoso";"";"1997.47"
"Desember 2020";"Sidoarjo";"WS. Brantas";"";"2050.95"
"Desember 2020";"Mojokerto";"WS. Brantas";"";"2471.85"
"Desember 2020";"Jombang";"WS. Brantas";"";"2107.41"
"Desember 2020";"Nganjuk";"WS. Brantas";"";"2198.57"
"Desember 2020";"Madiun";"WS. Bengawan Solo";"";"2297.07"
"Desember 2020";"Magetan";"WS. Bengawan Solo";"";"2308.6"
"Desember 2020";"Ngawi";"WS. Bengawan Solo";"";"2286.39"
"Desember 2020";"Bojonegoro";"WS. Bengawan Solo";"";"2190.18"
"Desember 2020";"Tuban";"WS. Bengawan Solo";"";"1671.11"
"Desember 2020";"Lamongan";"WS. Bengawan Solo";"";"2132.63"
"Desember 2020";"Gresik";"WS. Bengawan Solo";"";"1791.27"
"Desember 2020";"Bangkalan";"WS. Madura Bawean";"";"2027.08"
"Desember 2020";"Sampang";"WS. Madura Bawean";"";"1969.62"
"Desember 2020";"Pamekasan";"WS. Madura Bawean";"";"1995.86"
"Desember 2020";"Sumenep";"WS. Madura Bawean";"";"1882.53"
"Desember 2020";"Kota Kediri";"WS. Brantas";"";"1784"
"Desember 2020";"Kota Blitar";"WS. Brantas";"";"2081.33"
"Desember 2020";"Kota Malang";"WS. Brantas";"";"2581.5"
"Desember 2020";"Kota Probolinggo";"WS. Welang Rejoso";"";"1648.25"
"Desember 2020";"Kota Pasuruan";"WS. Welang Rejoso";"";"2573"
"Desember 2020";"Kota Mojokerto";"WS. Brantas";"";"0"
"Desember 2020";"Kota Madiun";"WS. Bengawan Solo";"";"2448.5"
"Desember 2020";"Kota Surabaya";"WS. Brantas";"";"2448.5"
"Desember 2020";"Kota Batu";"WS. Brantas";"";"1753.42"
"Januari 2021";"Pacitan";"WS. Bengawan Solo";"414.1";"2678.21"
"Januari 2021";"Ponorogo";"WS. Bengawan Solo";"334.35";"2186.61"
"Januari 2021";"Trenggalek";"WS. Brantas";"386.64";"2595.93"
"Januari 2021";"Tulungagung";"WS. Brantas";"307.74";"2083.68"
"Januari 2021";"Blitar";"WS. Brantas";"391.33";"2682.3"
"Januari 2021";"Kediri";"WS. Brantas";"397.25";"2260.33"
"Januari 2021";"Malang";"WS. Brantas";"563.86";"3004.33"
"Januari 2021";"Lumajang";"WS. Bondoyudo Bedadung";"387";"2753.5"
"Januari 2021";"Jember";"WS. Bondoyudo Bedadung";"545.15";"2450.04"
"Januari 2021";"Banyuwangi";"WS. Baru Bajulmati";"333.45";"2672.69"
"Januari 2021";"Bondowoso";"WS. Pekalen Sampean";"267.68";"1960.46"
"Januari 2021";"Situbondo";"WS. Pekalen Sampean";"262.62";"1528.34"
"Januari 2021";"Probolinggo";"WS. Welang Rejoso";"394";"2040"
"Januari 2021";"Pasuruan";"WS. Welang Rejoso";"365.38";"2231.14"
"Januari 2021";"Sidoarjo";"WS. Brantas";"409.23";"2068.75"
"Januari 2021";"Mojokerto";"WS. Brantas";"533.08";"2327.63"
"Januari 2021";"Jombang";"WS. Brantas";"393.35";"1899.88"
"Januari 2021";"Nganjuk";"WS. Brantas";"366.34";"2022.73"
"Januari 2021";"Madiun";"WS. Bengawan Solo";"348.7";"2384.65"
"Januari 2021";"Magetan";"WS. Bengawan Solo";"351.35";"2434.9"
"Januari 2021";"Ngawi";"WS. Bengawan Solo";"347.91";"2263.43"
"Januari 2021";"Bojonegoro";"WS. Bengawan Solo";"387.48";"2262.89"
"Januari 2021";"Tuban";"WS. Bengawan Solo";"451.55";"1899.09"
"Januari 2021";"Lamongan";"WS. Bengawan Solo";"352.29";"2194"
"Januari 2021";"Gresik";"WS. Bengawan Solo";"355";"1902"
"Januari 2021";"Bangkalan";"WS. Madura Bawean";"347.58";"2230.33"
"Januari 2021";"Sampang";"WS. Madura Bawean";"421.16";"2109.31"
"Januari 2021";"Pamekasan";"WS. Madura Bawean";"318.42";"1850.52"
"Januari 2021";"Sumenep";"WS. Madura Bawean";"377.3";"1660.14"
"Januari 2021";"Kota Kediri";"WS. Brantas";"380";"2280"
"Januari 2021";"Kota Blitar";"WS. Brantas";"390.83";"2650.27"
"Januari 2021";"Kota Malang";"WS. Brantas";"613";"3612.5"
"Januari 2021";"Kota Probolinggo";"WS. Welang Rejoso";"371";"1667"
"Januari 2021";"Kota Pasuruan";"WS. Welang Rejoso";"238";"1623"
"Januari 2021";"Kota Mojokerto";"WS. Brantas";"515";"2163"
"Januari 2021";"Kota Madiun";"WS. Bengawan Solo";"209";"1675"
"Januari 2021";"Kota Surabaya";"WS. Brantas";"420";"2065"
"Januari 2021";"Kota Batu";"WS. Brantas";"480";"1994"
"Februari 2021";"Pacitan";"WS. Bengawan Solo";"379.67333333333";"2678.21"
"Februari 2021";"Ponorogo";"WS. Bengawan Solo";"367.89130434783";"2186.61"
"Februari 2021";"Trenggalek";"WS. Brantas";"342.92857142857";"2595.93"
"Februari 2021";"Tulungagung";"WS. Brantas";"303.02631578947";"2083.68"
"Februari 2021";"Blitar";"WS. Brantas";"405.33333333333";"2682.3"
"Februari 2021";"Kediri";"WS. Brantas";"357.46153846154";"2260.33"
"Februari 2021";"Malang";"WS. Brantas";"428.66666666667";"3004.33"
"Februari 2021";"Lumajang";"WS. Bondoyudo Bedadung";"475.49056603774";"2753.5"
"Februari 2021";"Jember";"WS. Bondoyudo Bedadung";"409.22857142857";"2450.04"
"Februari 2021";"Banyuwangi";"WS. Baru Bajulmati";"506.40909090909";"2672.69"
"Februari 2021";"Bondowoso";"WS. Pekalen Sampean";"363.81944444444";"1960.46"
"Februari 2021";"Situbondo";"WS. Pekalen Sampean";"411.25";"1528.34"
"Februari 2021";"Probolinggo";"WS. Welang Rejoso";"486";"2040"
"Februari 2021";"Pasuruan";"WS. Welang Rejoso";"445.08787878788";"2231.14"
"Februari 2021";"Sidoarjo";"WS. Brantas";"345.46666666667";"2068.75"
"Februari 2021";"Mojokerto";"WS. Brantas";"423.504";"2327.63"
"Februari 2021";"Jombang";"WS. Brantas";"307.2";"1899.88"
"Februari 2021";"Nganjuk";"WS. Brantas";"326.22727272727";"2022.73"
"Februari 2021";"Madiun";"WS. Bengawan Solo";"300.71212121212";"2384.65"
"Februari 2021";"Magetan";"WS. Bengawan Solo";"302.4";"2434.9"
"Februari 2021";"Ngawi";"WS. Bengawan Solo";"254.20769230769";"2263.43"
"Februari 2021";"Bojonegoro";"WS. Bengawan Solo";"166.359375";"2262.89"
"Februari 2021";"Tuban";"WS. Bengawan Solo";"168.28378378378";"1899.09"
"Februari 2021";"Lamongan";"WS. Bengawan Solo";"255.64583333333";"2194"
"Februari 2021";"Gresik";"WS. Bengawan Solo";"250";"1902"
"Februari 2021";"Bangkalan";"WS. Madura Bawean";"271.13";"2230.33"
"Februari 2021";"Sampang";"WS. Madura Bawean";"263.65";"2109.31"
"Februari 2021";"Pamekasan";"WS. Madura Bawean";"191.04";"1850.52"
"Februari 2021";"Sumenep";"WS. Madura Bawean";"243.76";"1660.14"
"Februari 2021";"Kota Kediri";"WS. Brantas";"418";"2280"
"Februari 2021";"Kota Blitar";"WS. Brantas";"506.16666666667";"2650.27"
"Februari 2021";"Kota Malang";"WS. Brantas";"425";"3612.5"
"Februari 2021";"Kota Probolinggo";"WS. Welang Rejoso";"350";"1667"
"Februari 2021";"Kota Pasuruan";"WS. Welang Rejoso";"343";"1623"
"Februari 2021";"Kota Mojokerto";"WS. Brantas";"413";"2163"
"Februari 2021";"Kota Madiun";"WS. Bengawan Solo";"284";"1675"
"Februari 2021";"Kota Surabaya";"WS. Brantas";"379";"2065"
"Februari 2021";"Kota Batu";"WS. Brantas";"284";"1994"
"Maret 2021";"Pacitan";"WS. Bengawan Solo";"219.33333333333";"2678.21"
"Maret 2021";"Ponorogo";"WS. Bengawan Solo";"228.97826086957";"2186.61"
"Maret 2021";"Trenggalek";"WS. Brantas";"259.35714285714";"2595.93"
"Maret 2021";"Tulungagung";"WS. Brantas";"280.65789473684";"2083.68"
"Maret 2021";"Blitar";"WS. Brantas";"445.5";"2682.3"
"Maret 2021";"Kediri";"WS. Brantas";"378.88461538462";"2260.33"
