kabupaten_kota;Tangki Septik;IPAL/Waste water Treatment Plant;Kolam/Sawah/ Sungai/Laut;Lubang Tanah;Pantai/Lapangan/ Kebun/Lainnya;
Pacitan;56,55;0,00;0,11;42,70;0,64;
Ponorogo;90,17;0,00;0,52;9,31;0,00;
Trenggalek;83,00;0,45;1,71;13,30;1,53;
Tulungagung;84,53;0,05;1,52;13,77;0,14;
Blitar;75,97;0,28;8,06;15,60;0,08;
Kediri;92,50;0,00;0,68;6,47;0,36;
Malang;75,43;0,48;1,93;21,89;0,26;
Lumajang;74,16;0,93;0,68;24,11;0,13;
Jember;89,00;0,35;4,24;6,37;0,04;
Banyuwangi;85,12;3,13;3,94;7,76;0,05;
Bondowoso;67,31;0,32;5,00;26,80;0,56;
Situbondo;60,67;4,42;0,98;33,60;0,33;
Probolinggo;66,95;0,47;2,56;29,56;0,46;
Pasuruan;81,07;0,51;2,42;15,41;0,60;
Sidoarjo;96,68;1,58;1,39;0,15;0,19;
Mojokerto;95,25;0,00;1,81;2,94;0,00;
Jombang;96,82;0,61;0,44;2,13;0,00;
Nganjuk;94,18;0,06;1,20;4,55;0,00;
Madiun;87,09;2,57;1,36;8,57;0,41;
Magetan;89,49;0,70;2,72;7,08;0,00;
Ngawi;83,46;0,19;3,55;12,59;0,21;
Bojonegoro;96,27;0,00;0,17;3,55;0,00;
Tuban;93,13;0,00;1,25;5,50;0,12;
Lamongan;91,66;0,56;1,17;6,61;0,00;
Gresik;95,71;0,40;0,61;2,97;0,32;
Bangkalan;54,27;2,46;0,51;40,77;1,99;
Sampang;81,37;0,00;1,74;15,91;0,98;
Pamekasan;19,31;0,00;1,22;78,59;0,87;
Sumenep;49,16;3,37;0,63;45,96;0,88;
Kota Kediri;97,42;0,81;1,18;0,58;0,00;
Kota Blitar;90,45;6,61;2,43;0,52;0,00;
Kota Malang;79,01;10,32;6,40;3,98;0,28;
Kota Probolinggo;95,86;0,00;2,72;1,42;0,00;
Kota Pasuruan;94,99;0,95;3,53;0,36;0,17;
Kota Mojokerto;92,03;6,14;1,51;0,00;0,31;
Kota Madiun;98,74;0,53;0,34;0,40;0,00;
Kota Surabaya;99,08;0,11;0,43;0,03;0,35;
Kota Batu;91,59;4,95;2,89;0,57;0,00;
